"year","ubigeo","edu_estimate","lower","upper","modelo","pop_landscan","edu_estimate_prop","lower_prop","upper_prop"
2010,"160101",153008.962938578,146580.423463553,159590.544098724,"modelo_fh8_spatial",182719.4,0.837398562706411,0.802215985076316,0.873418717983553
2010,"160102",4512.61161420896,4180.74541535559,4858.47652488733,"modelo_fh8_spatial",6343.9,0.711330823974048,0.659018177360234,0.765850111900776
2010,"160103",3884.00626261437,3711.76656729993,4060.29730872647,"modelo_fh8_spatial",5345.8,0.726552856937103,0.694333227449574,0.759530343208963
2010,"160104",2061.82914734201,1971.9381918108,2153.44104061353,"modelo_fh8_spatial",2837.4,0.726661432065276,0.694980683657854,0.758948699729869
2010,"160105",2288.53870486354,2185.17321654395,2393.85737637224,"modelo_fh8_spatial",3206,0.713829914180767,0.68158865144852,0.746680404358155
2010,"160106",2153.49635319506,2058.89787486168,2251.19311923977,"modelo_fh8_spatial",2954,0.729010275286072,0.696986416676262,0.762082978754155
2010,"160107",6127.78562605536,5848.62396754008,6418.01129458396,"modelo_fh8_spatial",8745.7,0.700662682924793,0.668742807041184,0.733847638792088
2010,"160108",52626.6163310793,50564.6664967971,54726.0966903697,"modelo_fh8_spatial",65237,0.806698902939732,0.775091842003726,0.83888125895381
2010,"160110",1851.38580821902,1736.62109975745,1973.71077352316,"modelo_fh8_spatial",2647.8,0.699216635780279,0.655873215408055,0.745415353698604
2010,"160112",22692.7809671684,21801.4767755538,23595.2366375555,"modelo_fh8_spatial",28935.3,0.784259398284048,0.753456047649543,0.81544814249569
2010,"160113",103239.072363876,99129.2524923111,107419.547049788,"modelo_fh8_spatial",130827.9,0.789121222337714,0.757707281797775,0.821075222103147
2010,"160201",56887.2516484419,54628.4688254526,59185.8214312813,"modelo_fh8_spatial",73166.6,0.777503008865273,0.74663123372485,0.808918569829421
2010,"160202",2020.73786991641,1927.18030176026,2116.23560351489,"modelo_fh8_spatial",3186.3,0.634195734838655,0.604833286809232,0.664167091458711
2010,"160205",3503.05156257524,3289.01995561293,3726.65783463725,"modelo_fh8_spatial",5150.2,0.680177772237046,0.638619850804421,0.723594779743942
2010,"160206",9686.94064311874,9294.75603430241,10092.5657646126,"modelo_fh8_spatial",12850.8,0.753800591645558,0.723282288597006,0.785364783874362
2010,"160210",1513.98207778896,1427.7774384112,1601.45337681331,"modelo_fh8_spatial",2213.1,0.684100166187232,0.645148180566264,0.723624498130816
2010,"160211",3100.27584509781,2931.69370623085,3271.0645383142,"modelo_fh8_spatial",4468.4,0.693822362612526,0.65609473328951,0.732043805011682
2010,"160301",14123.9965317185,13566.0049433991,14692.6346553352,"modelo_fh8_spatial",18767.1,0.752593449798772,0.722861014402816,0.782893183034949
2010,"160302",4547.53139125363,4313.70541476265,4785.74114310583,"modelo_fh8_spatial",6394.1,0.71120742422759,0.674638403334738,0.748462042055305
2010,"160303",7843.77696947683,7428.03807772183,8262.21497747482,"modelo_fh8_spatial",11180.7,0.70154614375458,0.664362524503996,0.73897117152547
2010,"160304",16662.4058686559,15881.5535442912,17464.8965782507,"modelo_fh8_spatial",24092.1,0.691612846894039,0.659201711112404,0.724922135399187
2010,"160305",4742.59843108255,4473.18704757331,5034.99632474139,"modelo_fh8_spatial",6885.8,0.688750534590396,0.649624887097115,0.731214430384471
2010,"160401",9248.38334958507,8847.99889780256,9653.19457475879,"modelo_fh8_spatial",12836.1,0.720497919896625,0.689305855968913,0.752034852857082
2010,"160402",9844.10778605458,9370.46043770792,10340.4379571483,"modelo_fh8_spatial",13295.3,0.740420132381712,0.704794960452786,0.777751382605005
2010,"160403",9359.56901211137,8909.60167023753,9824.7810282673,"modelo_fh8_spatial",12393.8,0.755181543361308,0.718875701579623,0.792717409371404
2010,"160404",10714.5539431629,10225.6724727522,11210.7919244888,"modelo_fh8_spatial",15041,0.712356488475692,0.679853232680816,0.745348841465916
2010,"160501",14425.6506281597,13846.6358824059,15008.4785147506,"modelo_fh8_spatial",19255.6,0.749166508868055,0.719096568395992,0.779434476970366
2010,"160502",2863.04535752918,2652.04472544892,3082.50543744706,"modelo_fh8_spatial",3966.5,0.721806468556455,0.668610796785306,0.777134863846479
2010,"160503",1129.17182063178,1038.66877534705,1224.78718746515,"modelo_fh8_spatial",1517.6,0.744051015176451,0.684415376480659,0.807055342293853
2010,"160504",3416.4963944938,3263.36278607722,3575.17485276221,"modelo_fh8_spatial",4678.7,0.730223436957658,0.697493488806125,0.764138511287796
2010,"160505",4435.8927530834,4207.92628513837,4664.79980040701,"modelo_fh8_spatial",6259.9,0.708620385802233,0.672203435380497,0.745187590921102
2010,"160506",1995.32274751373,1869.32516937991,2133.17700406597,"modelo_fh8_spatial",2719.7,0.733655457408438,0.687327708710486,0.784342759887476
2010,"160507",1107.2047236594,1049.14087267451,1168.96978330612,"modelo_fh8_spatial",1490.2,0.742990688269629,0.704026890802921,0.784438185012832
2010,"160508",1203.4238438878,1089.96647464312,1325.19176799615,"modelo_fh8_spatial",1699.8,0.707979670483467,0.641232188871115,0.779616288972911
2010,"160509",916.168293631759,839.788645284145,997.611739659073,"modelo_fh8_spatial",1260.2,0.727002296168671,0.666393148138506,0.791629693428878
2010,"160510",4672.24169357415,4279.16643531951,5086.8227411174,"modelo_fh8_spatial",6411.9,0.728682869909722,0.667378847973223,0.793340934998581
2010,"160511",3864.87947838413,3594.78129139624,4149.28023009072,"modelo_fh8_spatial",5415.7,0.713643569323287,0.663770388203969,0.766157695236205
2010,"160601",24383.0428608125,23423.217692586,25363.9338700599,"modelo_fh8_spatial",31305.4,0.77887657914649,0.748216527902089,0.810209544361671
2010,"160602",846.006381155503,766.093017038309,931.653668200638,"modelo_fh8_spatial",1102.1,0.767631232334183,0.695121147843489,0.845344041557606
2010,"160603",3018.74408191719,2858.75004197775,3184.1074251393,"modelo_fh8_spatial",4115.6,0.733488211176303,0.694613189323004,0.773667855267591
2010,"160604",4061.9534523546,3856.16404864825,4276.8917791324,"modelo_fh8_spatial",5411.3,0.750642812698353,0.712613244257064,0.79036308819182
2010,"160605",10700.9854389345,10228.7764371022,11182.2595539361,"modelo_fh8_spatial",14665.3,0.72968063653212,0.697481567857607,0.762497838703342
2010,"160606",5294.58276286674,5049.97083520372,5549.47947788777,"modelo_fh8_spatial",6757.8,0.783477280012243,0.747280303531286,0.821196170038736
2010,"160701",8927.67700553006,8536.4702634586,9331.83878028045,"modelo_fh8_spatial",11886.6,0.751070701927386,0.718159125692679,0.785072163636401
2010,"160702",2476.96924555154,2346.32955396762,2613.50380539888,"modelo_fh8_spatial",3684,0.672358644286521,0.636897273063957,0.709420142616416
2010,"160703",7696.06413018649,7338.90276842474,8059.90571220437,"modelo_fh8_spatial",11301.9,0.680953125597156,0.649351239032794,0.713146082712143
